,neighbourhood,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
4946,Mount Pleasant,200.0,7,0,,3,363,0
4947,Kensington-Cedar Cottage,98.0,2,19,3.93,2,179,19
4948,Kitsilano,363.0,2,26,3.41,1,77,26
4949,Downtown,156.0,2,20,2.67,1,12,20
4950,Downtown,167.0,30,0,,42,345,0
4951,Kerrisdale,50.0,1,26,3.42,134,303,26
4952,Oakridge,54.0,1,7,1.18,1,89,7
4953,Grandview-Woodland,252.0,2,40,6.0,1,315,40
4954,Victoria-Fraserview,307.0,4,25,3.21,2,0,25
4955,Marpole,511.0,60,7,1.06,7,347,7
4956,Marpole,189.0,1,0,,2,364,0
4957,South Cambie,130.0,1,48,6.0,2,246,48
4958,Marpole,66.0,3,8,1.17,7,336,8
4959,Kitsilano,192.0,30,0,,1,89,0
4960,Hastings-Sunrise,80.0,2,39,6.19,1,239,39
4961,Downtown,155.0,1,59,7.38,1,15,59
4962,Grandview-Woodland,150.0,1,7,0.95,2,359,7
4963,Grandview-Woodland,585.0,7,0,,1,237,0
4964,Downtown,147.0,1,51,6.89,1,74,51
4965,Grandview-Woodland,250.0,1,6,0.97,2,321,6
4966,Downtown,90.0,1,48,6.67,1,98,48
4967,Oakridge,75.0,1,34,4.72,4,312,34
4968,Downtown,114.0,2,1,0.13,1,24,1
4969,Downtown Eastside,358.0,4,2,0.32,1,71,2
4970,Downtown,279.0,3,23,2.94,3,74,23
4971,Downtown,211.0,5,30,3.95,1,289,30
4972,Downtown,177.0,3,33,4.27,1,150,33
4973,Mount Pleasant,77.0,2,48,6.37,5,52,48
4974,Hastings-Sunrise,129.0,2,34,4.53,1,0,34
4975,Kensington-Cedar Cottage,180.0,2,29,3.83,1,170,29
4976,Downtown Eastside,350.0,3,7,0.96,1,179,7
4977,Marpole,329.0,2,3,0.55,4,341,3
4978,West Point Grey,60.0,14,1,0.4,6,269,1
4979,Kitsilano,49.0,31,1,0.23,6,364,1
4980,Fairview,48.0,31,0,,6,364,0
4981,Kitsilano,14.0,31,0,,1,249,0
4982,Downtown,132.0,30,0,,10,341,0
4983,Hastings-Sunrise,161.0,2,42,5.48,3,129,42
4984,Sunset,145.0,2,18,2.61,2,40,18
4985,Dunbar Southlands,122.0,1,9,1.43,3,255,9
4986,Grandview-Woodland,122.0,3,23,3.0,1,171,23
4987,Grandview-Woodland,95.0,1,29,3.7,6,90,29
4988,West End,155.0,5,1,0.17,1,364,1
4989,Fairview,63.0,35,5,0.87,2,47,5
4990,West End,99.0,30,40,5.41,3,0,40
4991,Renfrew-Collingwood,70.0,1,25,3.49,3,106,25
4992,Mount Pleasant,,3,6,1.22,1,0,6
4993,Downtown,74.0,30,0,,1,162,0
4994,Kensington-Cedar Cottage,85.0,30,1,1.0,1,126,1
4995,Downtown,77.0,3,30,4.07,4,0,30
4996,Downtown,123.0,30,1,0.22,134,91,1
4997,Kerrisdale,64.0,30,1,0.43,6,258,1
4998,Kitsilano,160.0,30,0,,1,179,0
4999,Shaughnessy,160.0,1,1,0.16,4,346,1
5000,Riley Park,2000.0,1,0,,19,364,0
5001,Kitsilano,132.0,30,3,0.45,134,123,3
5002,Riley Park,2000.0,1,0,,19,364,0
5003,Kensington-Cedar Cottage,128.0,3,38,5.7,1,59,38
5004,Victoria-Fraserview,88.0,30,1,0.44,9,344,1
5005,Dunbar Southlands,,7,0,,1,211,0
5006,West Point Grey,230.0,1,14,1.83,1,40,14
5007,Kitsilano,180.0,1,16,2.64,1,99,16
5008,Kensington-Cedar Cottage,289.0,2,15,2.18,3,271,15
5009,Downtown,124.0,30,23,3.25,1,100,23
5010,Hastings-Sunrise,85.0,30,2,0.31,2,256,2
5011,Arbutus Ridge,96.0,10,0,,7,179,0
5012,Downtown,111.0,2,14,2.9,1,143,14
5013,Dunbar Southlands,105.0,30,0,,2,89,0
5014,Downtown,289.0,2,25,3.32,1,172,25
5015,Kerrisdale,88.0,30,1,0.73,6,251,1
5016,Marpole,46.0,30,2,0.34,5,94,2
5017,Downtown,136.0,2,26,4.97,1,65,26
5018,Downtown Eastside,123.0,2,20,2.7,1,35,20
5019,Downtown Eastside,,30,0,,1,0,0
5020,Sunset,181.0,2,26,3.51,1,185,26
5021,Downtown,215.0,30,3,0.46,1,92,3
5022,Downtown,298.0,30,7,1.11,2,179,7
5023,West Point Grey,91.0,1,96,12.58,1,0,96
5024,Dunbar Southlands,122.0,1,5,0.78,3,93,5
5025,Riley Park,90.0,30,3,0.52,3,95,3
5026,Downtown,249.0,30,2,0.4,1,205,2
5027,Downtown,,1,5,0.68,2,0,5
5028,Downtown Eastside,130.0,30,1,0.27,1,364,1
5029,West End,171.0,5,12,1.78,1,0,12
5030,Kitsilano,130.0,30,2,0.55,26,70,2
5031,Downtown,230.0,22,19,3.22,1,149,19
5032,Downtown,146.0,30,1,0.25,1,326,1
5033,Downtown Eastside,113.0,1,15,2.24,1,355,15
5034,Hastings-Sunrise,351.0,2,7,1.15,5,91,7
5035,Hastings-Sunrise,351.0,2,12,1.93,5,93,12
5036,West Point Grey,135.0,1,15,2.24,18,364,15
5037,Downtown,151.0,2,41,6.15,1,237,41
5038,Kensington-Cedar Cottage,75.0,2,13,2.2,1,52,13
5039,Marpole,185.0,30,2,0.37,5,364,2
5040,Downtown Eastside,169.0,1,18,3.75,1,61,18
5041,Killarney,64.0,1,72,9.95,1,0,72
5042,Dunbar Southlands,250.0,3,1,0.3,1,13,1
5043,Downtown,170.0,31,1,0.24,1,49,1
5044,Kitsilano,857.0,3,0,,30,328,0
5045,Grandview-Woodland,135.0,2,7,1.47,1,60,7
5046,Kitsilano,33.0,31,1,0.27,5,71,1
5047,Renfrew-Collingwood,89.0,30,2,0.31,2,334,2
5048,West End,720.0,10,0,,30,364,0
5049,Downtown,180.0,2,26,3.79,1,70,26
5050,Downtown,1200.0,10,0,,30,364,0
5051,Downtown,137.0,2,39,5.39,1,130,39
5052,Grandview-Woodland,116.0,3,25,3.91,1,142,25
5053,Fairview,100.0,30,0,,1,364,0
5054,Strathcona,133.0,2,13,2.02,1,116,13
5055,Downtown,125.0,30,1,0.56,1,192,1
5056,Sunset,64.0,2,38,5.23,2,73,38
5057,Sunset,110.0,30,18,2.65,1,325,18
5058,Dunbar Southlands,272.0,2,13,1.82,2,0,13
5059,Downtown,109.0,30,1,0.73,2,250,1
5060,Arbutus Ridge,48.0,30,2,0.34,8,358,2
5061,Arbutus Ridge,58.0,30,2,0.36,8,283,2
5062,Downtown,238.0,2,35,5.22,1,123,35
5063,Downtown,178.0,90,0,,1,358,0
5064,Kerrisdale,593.0,1,12,2.09,3,11,12
5065,Downtown,118.0,2,9,1.49,1,52,9
5066,Downtown,,30,3,0.61,10,0,3
5067,Mount Pleasant,106.0,1,21,2.86,134,357,21
5068,Sunset,104.0,1,40,6.03,1,35,40
5069,Sunset,145.0,1,11,2.58,1,11,11
5070,Kitsilano,100.0,30,2,0.31,26,286,2
5071,Dunbar Southlands,1200.0,20,0,,2,70,0
5072,Downtown Eastside,415.0,3,7,1.06,1,178,7
5073,Sunset,64.0,1,29,4.05,7,50,29
5074,Renfrew-Collingwood,40.0,30,2,0.58,6,100,2
5075,Riley Park,41.0,1,0,,19,364,0
5076,Arbutus Ridge,881.0,2,8,1.2,1,334,8
5077,Riley Park,170.0,30,1,0.29,1,342,1
5078,Downtown,450.0,3,0,,1,44,0
5079,Killarney,95.0,30,3,0.6,1,127,3
5080,Downtown Eastside,113.0,3,15,2.98,1,0,15
5081,Hastings-Sunrise,100.0,2,34,5.13,3,8,34
5082,Oakridge,45.0,30,2,0.6,20,73,2
5083,Downtown,190.0,26,0,,1,83,0
5084,Downtown Eastside,160.0,30,1,0.22,1,364,1
5085,Kitsilano,,2,18,2.69,1,0,18
5086,Downtown,353.0,30,0,,1,364,0
5087,Victoria-Fraserview,102.0,2,25,3.73,1,361,25
5088,Sunset,70.0,1,26,3.63,7,33,26
5089,Sunset,87.0,1,20,2.88,7,50,20
5090,Sunset,74.0,1,28,4.02,7,49,28
5091,Marpole,170.0,1,5,0.84,4,328,5
5092,Downtown Eastside,122.0,1,35,5.68,2,71,35
5093,Kensington-Cedar Cottage,285.0,3,8,1.88,1,3,8
5094,Downtown,142.0,3,28,4.04,16,209,28
5095,Downtown Eastside,200.0,4,0,,3,364,0
5096,West Point Grey,,30,0,,1,210,0
5097,Renfrew-Collingwood,175.0,1,24,3.44,1,0,24
5098,Hastings-Sunrise,93.0,30,1,0.88,1,165,1
5099,Kitsilano,500.0,1,7,1.23,1,0,7
5100,Downtown,146.0,3,33,4.74,16,134,33
5101,Kitsilano,129.0,30,3,0.48,134,8,3
5102,Downtown Eastside,271.0,1,26,4.73,1,313,26
5103,Grandview-Woodland,151.0,1,35,6.25,1,237,35
5104,Kensington-Cedar Cottage,450.0,8,10,1.46,1,61,10
5105,Kitsilano,350.0,2,10,1.97,1,71,10
5106,Kitsilano,109.0,30,3,0.67,134,0,3
5107,Downtown Eastside,119.0,1,23,3.54,1,333,23
5108,Kitsilano,80.0,30,3,0.59,134,128,3
5109,West Point Grey,726.0,2,2,0.3,2,158,2
5110,Grandview-Woodland,110.0,1,13,1.99,6,0,13
5111,Grandview-Woodland,110.0,1,13,2.42,6,14,13
5112,Grandview-Woodland,95.0,1,10,1.79,6,0,10
5113,Kensington-Cedar Cottage,96.0,2,30,4.31,1,117,30
5114,Downtown,140.0,3,32,4.64,16,158,32
5115,Renfrew-Collingwood,109.0,2,41,5.97,2,56,41
5116,Fairview,48.0,30,4,0.65,134,333,4
5117,Downtown,,30,0,,1,304,0
5118,Downtown,202.0,1,60,9.23,1,0,60
5119,Downtown,179.0,3,17,2.79,5,17,17
5120,Downtown,119.0,30,1,0.68,11,336,1
5121,Downtown,125.0,30,0,,42,286,0
5122,Downtown,100.0,30,4,0.72,3,119,4
5123,Downtown,108.0,90,0,,3,363,0
5124,Downtown,132.0,1,62,9.95,1,0,62
5125,Marpole,95.0,30,1,0.28,43,90,1
5126,Downtown Eastside,149.0,1,41,6.09,1,67,41
5127,Downtown,540.0,2,16,3.5,1,0,16
5128,Downtown,,1,13,2.17,1,0,13
5129,West End,150.0,1,10,1.42,1,364,10
5130,Kitsilano,250.0,3,22,3.28,1,0,22
5131,Grandview-Woodland,130.0,30,0,,1,28,0
5132,Arbutus Ridge,126.0,30,0,,8,322,0
5133,Arbutus Ridge,66.0,30,2,0.39,8,349,2
5134,Riley Park,172.0,3,19,2.97,1,177,19
5135,Marpole,182.0,1,0,,2,89,0
5136,Marpole,138.0,1,15,2.5,2,89,15
5137,Downtown,120.0,30,0,,1,364,0
5138,Shaughnessy,,2,0,,5,0,0
5139,Downtown Eastside,145.0,2,29,5.3,1,76,29
5140,Downtown,,3,9,1.54,1,0,9
5141,Riley Park,200.0,1,27,4.5,2,225,27
5142,Victoria-Fraserview,150.0,2,11,1.92,1,286,11
5143,Dunbar Southlands,261.0,1,13,1.95,1,174,13
5144,Downtown,124.0,5,20,3.08,4,76,20
5145,Downtown,125.0,30,1,0.22,8,359,1
5146,Sunset,119.0,1,7,1.83,2,362,7
5147,Oakridge,175.0,30,0,,2,364,0
5148,Kitsilano,190.0,2,30,4.69,1,233,30
5149,Downtown,146.0,2,11,1.63,1,174,11
5150,Downtown,160.0,30,0,,8,365,0
5151,Downtown,69.0,30,0,,8,339,0
5152,Kensington-Cedar Cottage,200.0,2,21,3.06,2,0,21
5153,Sunset,172.0,1,24,3.71,1,213,24
5154,Mount Pleasant,137.0,2,27,4.79,1,67,27
5155,Kensington-Cedar Cottage,133.0,30,2,0.44,1,201,2
5156,Marpole,75.0,3,12,2.42,4,159,12
5157,Downtown,200.0,30,3,0.66,1,83,3
5158,Downtown Eastside,130.0,180,0,,1,364,0
5159,Kensington-Cedar Cottage,73.0,1,28,4.14,1,0,28
5160,West End,884.0,30,0,,134,275,0
5161,Dunbar Southlands,,30,0,,1,364,0
5162,Downtown,120.0,30,0,,1,255,0
5163,Dunbar Southlands,,7,3,0.52,2,0,3
5164,Downtown,125.0,30,2,0.56,8,359,2
5165,Downtown,125.0,30,2,1.13,8,245,2
5166,Downtown,112.0,30,0,,8,339,0
5167,West End,110.0,3,36,6.17,6,35,36
5168,Downtown,150.0,90,0,,1,164,0
5169,West End,145.0,30,2,0.36,37,201,2
5170,Mount Pleasant,35.0,1,10,1.49,134,335,10
5171,Downtown Eastside,135.0,30,0,,2,254,0
5172,Downtown,183.0,30,2,0.36,8,365,2
5173,Downtown,238.0,3,11,1.64,1,83,11
5174,Downtown,336.0,2,4,0.97,1,207,4
5175,Riley Park,320.0,1,25,3.93,2,111,25
5176,Downtown,130.0,30,2,0.65,3,49,2
5177,Downtown Eastside,156.0,2,23,4.06,1,80,23
5178,Downtown Eastside,69.0,2,55,8.25,4,75,55
5179,Sunset,71.0,1,57,8.26,3,0,57
5180,Arbutus Ridge,99.0,7,0,,7,179,0
5181,Hastings-Sunrise,120.0,1,60,9.52,1,269,60
5182,Arbutus Ridge,99.0,7,0,,7,179,0
5183,Arbutus Ridge,99.0,7,0,,7,179,0
5184,Arbutus Ridge,98.0,7,0,,7,364,0
5185,Sunset,289.0,2,10,1.6,4,0,10
5186,Hastings-Sunrise,,2,6,1.05,1,0,6
5187,Killarney,80.0,30,25,3.75,1,233,25
5188,Sunset,122.0,1,6,1.76,1,0,6
5189,Grandview-Woodland,241.0,1,13,2.6,1,278,13
5190,Killarney,,30,1,1.0,1,0,1
5191,West End,139.0,1,23,3.37,1,0,23
5192,Fairview,120.0,30,2,0.5,26,315,2
5193,Kitsilano,115.0,30,3,0.63,26,240,3
5194,West End,175.0,2,11,2.09,1,63,11
5195,Downtown,128.0,30,2,0.56,1,264,2
5196,West End,110.0,30,2,0.43,37,206,2
5197,Kensington-Cedar Cottage,46.0,1,3,0.78,19,269,3
5198,Kensington-Cedar Cottage,150.0,1,1,0.15,19,365,1
5199,Kensington-Cedar Cottage,23.0,30,0,,19,270,0
5200,Downtown Eastside,239.0,2,30,5.52,1,0,30
5201,Downtown,153.0,2,35,5.25,3,0,35
5202,West End,195.0,1,96,15.82,11,0,96
5203,Downtown Eastside,529.0,3,18,3.03,3,168,18
5204,West End,184.0,1,72,11.87,11,0,72
5205,West End,205.0,1,17,2.82,11,0,17
5206,Kensington-Cedar Cottage,190.0,1,1,0.36,3,269,1
5207,Grandview-Woodland,138.0,1,3,0.47,1,71,3
5208,Kensington-Cedar Cottage,109.0,4,24,3.79,1,357,24
5209,Downtown,471.0,2,13,2.25,1,165,13
5210,Sunset,53.0,1,11,1.71,18,180,11
5211,Renfrew-Collingwood,136.0,2,18,3.27,1,0,18
5212,Oakridge,250.0,3,23,3.5,1,1,23
5213,Downtown Eastside,87.0,3,38,6.1,1,0,38
5214,Downtown,139.0,180,0,,1,347,0
5215,Kitsilano,280.0,2,22,4.05,1,309,22
5216,Downtown,215.0,2,14,2.9,1,100,14
5217,Downtown,150.0,3,1,0.17,1,89,1
5218,Kitsilano,135.0,30,1,0.24,1,89,1
5219,Renfrew-Collingwood,79.0,1,37,5.72,2,0,37
5220,Riley Park,125.0,2,21,3.42,1,166,21
5221,West End,203.0,30,3,0.54,4,122,3
5222,Sunset,169.0,30,1,0.21,10,223,1
5223,Mount Pleasant,39.0,9,1,0.32,6,270,1
5224,Shaughnessy,110.0,3,8,1.59,2,42,8
5225,Mount Pleasant,228.0,30,1,0.37,1,222,1
5226,Victoria-Fraserview,155.0,2,26,4.04,1,341,26
5227,Mount Pleasant,,45,0,,1,117,0
5228,West Point Grey,250.0,2,10,2.44,1,179,10
5229,Downtown,,2,9,1.39,1,0,9
5230,Kensington-Cedar Cottage,189.0,3,26,4.79,1,52,26
5231,Arbutus Ridge,543.0,3,0,,2,15,0
5232,Downtown,129.0,30,1,0.41,11,263,1
5233,Downtown Eastside,250.0,2,9,2.87,1,180,9
5234,West End,290.0,4,11,2.41,1,102,11
5235,Riley Park,172.0,30,1,0.24,134,49,1
5236,Riley Park,141.0,30,3,0.6,134,67,3
5237,Riley Park,100.0,30,0,,134,59,0
5238,Sunset,139.0,30,2,0.79,10,133,2
5239,Downtown,499.0,7,11,1.7,1,107,11
5240,West Point Grey,,30,0,,1,354,0
5241,South Cambie,436.0,1,33,5.24,2,245,33
5242,West End,79.0,30,0,,1,59,0
5243,West End,84.0,30,26,4.08,5,0,26
5244,Sunset,220.0,1,17,2.73,3,124,17
5245,Dunbar Southlands,150.0,30,1,0.2,1,156,1
5246,Hastings-Sunrise,118.0,30,2,0.4,1,158,2
5247,West Point Grey,126.0,30,2,0.39,4,167,2
5248,Downtown,129.0,30,1,0.2,11,355,1
5249,Downtown,156.0,1,19,3.96,1,0,19
5250,Downtown,250.0,30,0,,13,260,0
5251,Downtown,237.0,1,7,1.33,2,14,7
5252,Fairview,319.0,2,1,0.37,1,361,1
5253,Kitsilano,140.0,30,1,0.27,1,130,1
5254,Downtown,175.0,30,1,0.3,4,364,1
5255,West End,457.0,2,1,0.31,2,89,1
5256,Downtown,230.0,30,3,0.65,1,51,3
5257,Fairview,84.0,30,1,1.0,134,316,1
5258,Downtown,202.0,2,18,6.07,1,0,18
5259,West End,793.0,3,23,3.97,1,331,23
5260,Arbutus Ridge,110.0,1,6,1.05,7,60,6
5261,Marpole,71.0,1,58,9.26,1,0,58
5262,Downtown Eastside,133.0,1,40,6.35,2,0,40
5263,Downtown,139.0,1,10,1.6,1,334,10
5264,Riley Park,71.0,30,1,0.27,134,48,1
5265,Victoria-Fraserview,222.0,2,6,1.45,1,347,6
5266,West End,126.0,1,24,3.83,1,0,24
5267,Dunbar Southlands,220.0,3,2,0.5,2,89,2
5268,Sunset,56.0,1,8,1.52,18,178,8
5269,Sunset,56.0,1,7,1.24,18,0,7
5270,Shaughnessy,98.0,1,23,3.71,2,311,23
5271,Downtown Eastside,149.0,30,1,0.24,1,358,1
5272,Kensington-Cedar Cottage,72.0,2,31,5.14,1,69,31
5273,Victoria-Fraserview,165.0,1,16,2.73,1,351,16
5274,Downtown,143.0,30,1,0.2,1,178,1
5275,Dunbar Southlands,161.0,1,19,3.54,1,261,19
5276,Marpole,241.0,1,20,4.32,1,347,20
5277,Sunset,129.0,2,12,3.1,1,264,12
5278,Mount Pleasant,151.0,1,2,0.52,2,288,2
5279,Sunset,55.0,1,1,0.17,18,365,1
5280,Downtown,55.0,30,1,0.2,1,269,1
5281,Mount Pleasant,,2,1,0.17,1,0,1
5282,Killarney,108.0,1,21,4.34,4,89,21
5283,Killarney,118.0,1,25,5.43,4,90,25
5284,Hastings-Sunrise,187.0,1,23,4.23,1,256,23
5285,West Point Grey,370.0,2,6,1.11,1,60,6
5286,Sunset,150.0,30,2,0.67,1,88,2
5287,Riley Park,89.0,2,28,4.97,1,79,28
5288,Downtown,168.0,30,0,,3,364,0
5289,Arbutus Ridge,110.0,1,52,9.63,4,237,52
5290,Downtown,240.0,5,2,0.34,1,10,2
5291,Kerrisdale,80.0,30,2,0.44,6,194,2
5292,Mount Pleasant,500.0,4,2,0.45,1,36,2
5293,Downtown Eastside,,2,5,1.16,1,0,5
5294,Kensington-Cedar Cottage,400.0,1,15,2.73,1,170,15
5295,Sunset,100.0,1,16,2.58,1,0,16
5296,Hastings-Sunrise,148.0,1,21,3.39,1,39,21
5297,Downtown,443.0,2,17,3.09,1,269,17
5298,Kerrisdale,999.0,30,0,,1,365,0
5299,Mount Pleasant,112.0,30,0,,134,299,0
5300,Mount Pleasant,101.0,30,1,0.41,134,286,1
5301,Mount Pleasant,139.0,30,2,0.38,134,246,2
5302,Mount Pleasant,74.0,30,1,0.19,134,291,1
5303,Mount Pleasant,53.0,30,2,0.52,134,194,2
5304,Killarney,57.0,2,25,4.01,1,59,25
5305,Downtown,145.0,2,31,5.89,1,4,31
5306,Downtown,164.0,30,0,,1,364,0
5307,Mount Pleasant,110.0,30,0,,1,90,0
5308,Mount Pleasant,81.0,30,9,3.25,134,342,9
5309,Downtown,399.0,30,2,1.05,3,153,2
5310,Shaughnessy,169.0,1,18,3.35,1,0,18
5311,Kensington-Cedar Cottage,115.0,2,9,1.67,3,101,9
5312,Kensington-Cedar Cottage,145.0,2,2,0.46,3,59,2
5313,Dunbar Southlands,352.0,1,30,5.2,1,326,30
5314,West End,130.0,30,0,,1,185,0
5315,Downtown Eastside,164.0,2,25,4.29,1,123,25
5316,Renfrew-Collingwood,60.0,30,2,0.42,4,340,2
5317,Downtown Eastside,144.0,1,23,4.26,1,0,23
5318,Renfrew-Collingwood,60.0,30,3,0.62,4,256,3
5319,Downtown,415.0,1,45,8.44,1,0,45
5320,Victoria-Fraserview,80.0,1,21,3.73,1,360,21
5321,Renfrew-Collingwood,101.0,2,17,3.04,1,62,17
5322,Kitsilano,956.0,30,4,0.83,3,229,4
5323,Downtown,160.0,2,23,4.83,1,53,23
5324,Kitsilano,679.0,3,9,1.97,1,73,9
5325,Fairview,140.0,2,1,0.17,1,34,1
5326,Downtown,109.0,1,36,6.51,1,146,36
5327,Hastings-Sunrise,220.0,1,13,2.36,1,26,13
5328,Downtown,70.0,1,44,7.54,4,0,44
5329,Downtown,118.0,1,16,2.91,4,57,16
5330,Mount Pleasant,39.0,1,3,0.58,6,365,3
5331,Kitsilano,103.0,1,38,6.44,4,71,38
5332,West End,104.0,1,32,5.49,2,0,32
5333,Riley Park,135.0,1,1,0.21,19,364,1
5334,Renfrew-Collingwood,110.0,2,26,4.38,5,123,26
5335,Downtown,116.0,30,1,0.29,1,4,1
5336,Downtown,189.0,30,1,0.23,3,102,1
5337,Fairview,108.0,3,41,7.03,1,171,41
5338,Kensington-Cedar Cottage,187.0,5,13,2.12,1,332,13
5339,Downtown,171.0,2,21,4.34,1,32,21
5340,West End,,1,7,1.17,1,0,7
5341,Downtown,116.0,1,22,3.61,1,302,22
5342,Mount Pleasant,,30,0,,1,0,0
5343,Marpole,99.0,1,11,2.23,5,136,11
5344,Kensington-Cedar Cottage,149.0,2,15,2.49,1,264,15
5345,Downtown,110.0,30,3,0.82,1,364,3
5346,Sunset,263.0,2,7,1.28,1,179,7
5347,Hastings-Sunrise,202.0,30,1,0.28,1,159,1
5348,Mount Pleasant,,30,0,,1,90,0
5349,Downtown,286.0,2,18,3.48,1,96,18
5350,Arbutus Ridge,381.0,3,10,2.26,1,329,10
5351,Downtown,153.0,1,36,6.17,1,166,36
5352,Mount Pleasant,200.0,2,10,1.7,1,356,10
5353,Fairview,167.0,1,15,2.73,1,178,15
5354,West End,159.0,1,3,0.51,1,149,3
5355,Kitsilano,130.0,30,0,,4,170,0
5356,West End,187.0,30,21,4.01,3,0,21
5357,Victoria-Fraserview,102.0,1,13,2.18,1,40,13
5358,Downtown Eastside,148.0,1,24,3.98,43,59,24
5359,Hastings-Sunrise,95.0,3,6,1.33,16,179,6
5360,Kensington-Cedar Cottage,110.0,30,0,,2,146,0
5361,Sunset,247.0,1,29,4.83,43,0,29
5362,Downtown,124.0,2,14,2.78,2,344,14
5363,West End,124.0,30,1,0.47,2,179,1
5364,Kensington-Cedar Cottage,314.0,30,20,3.49,1,0,20
5365,Oakridge,79.0,30,1,0.26,21,233,1
5366,Downtown,120.0,2,0,,1,138,0
5367,Marpole,129.0,2,14,2.46,1,170,14
5368,Downtown,316.0,90,0,,1,364,0
5369,Marpole,56.0,5,8,1.39,7,0,8
5370,Marpole,51.0,3,5,1.04,7,334,5
5371,Downtown,843.0,2,5,0.93,1,344,5
5372,Downtown,69.0,30,2,0.57,8,130,2
5373,Downtown,69.0,30,0,,8,225,0
5374,Victoria-Fraserview,96.0,1,17,4.55,1,0,17
5375,Hastings-Sunrise,200.0,2,14,2.56,1,353,14
5376,Hastings-Sunrise,99.0,30,0,,1,108,0
5377,Sunset,99.0,30,2,0.44,10,140,2
5378,Downtown,198.0,30,0,,1,254,0
5379,Mount Pleasant,130.0,3,20,4.23,1,160,20
5380,Kensington-Cedar Cottage,400.0,2,1,0.3,2,71,1
5381,Shaughnessy,107.0,1,28,5.03,43,106,28
5382,Downtown Eastside,278.0,4,3,0.81,1,365,3
5383,Downtown,110.0,30,2,0.57,1,11,2
5384,Dunbar Southlands,,1,6,1.08,1,0,6
5385,West End,111.0,7,0,,2,50,0
5386,Hastings-Sunrise,100.0,30,4,0.89,1,274,4
5387,Marpole,45.0,3,3,0.55,7,349,3
5388,Marpole,95.0,30,17,3.13,5,138,17
5389,Marpole,99.0,30,8,1.45,5,37,8
5390,Sunset,75.0,1,13,2.55,1,63,13
5391,West End,50.0,30,1,0.22,2,364,1
5392,Riley Park,,2,6,1.1,1,0,6
5393,Downtown,260.0,1,15,3.13,1,46,15
5394,Riley Park,250.0,5,5,0.9,1,92,5
5395,Kensington-Cedar Cottage,116.0,1,18,3.91,1,74,18
5396,Victoria-Fraserview,286.0,1,15,3.02,1,66,15
5397,Downtown,80.0,30,3,0.7,3,364,3
5398,Oakridge,39.0,30,2,0.35,7,353,2
5399,Downtown,937.0,9,0,,30,364,0
5400,Downtown,131.0,1,20,3.55,134,0,20
5401,Downtown,158.0,3,18,3.25,1,189,18
5402,Kensington-Cedar Cottage,160.0,2,8,1.45,1,0,8
5403,Victoria-Fraserview,83.0,1,11,2.06,4,179,11
5404,Downtown,158.0,30,2,0.57,1,56,2
5405,West End,125.0,30,2,0.45,37,208,2
5406,Kensington-Cedar Cottage,99.0,1,22,4.55,1,0,22
5407,West End,80.0,31,1,0.46,1,175,1
5408,Downtown,80.0,30,0,,2,364,0
5409,Kitsilano,96.0,2,19,3.29,1,165,19
5410,Marpole,90.0,30,0,,7,269,0
5411,Grandview-Woodland,101.0,2,18,3.27,1,94,18
5412,Renfrew-Collingwood,129.0,2,6,1.3,5,81,6
5413,Downtown Eastside,130.0,30,15,3.08,1,155,15
5414,Grandview-Woodland,227.0,2,13,2.45,1,357,13
5415,Riley Park,75.0,30,0,,3,134,0
5416,Kensington-Cedar Cottage,499.0,3,5,0.96,2,7,5
5417,Dunbar Southlands,68.0,2,16,2.76,6,269,16
5418,Kensington-Cedar Cottage,120.0,2,7,3.33,1,112,7
5419,Dunbar Southlands,55.0,2,14,2.5,6,269,14
5420,Sunset,45.0,1,10,1.88,18,180,10
5421,Mount Pleasant,107.0,1,10,2.03,134,344,10
5422,West Point Grey,314.0,1,2,0.44,6,198,2
5423,Oakridge,48.0,30,0,,7,290,0
5424,Oakridge,61.0,30,2,0.42,7,270,2
5425,Hastings-Sunrise,43.0,30,0,,7,361,0
5426,Hastings-Sunrise,179.0,1,26,4.7,1,0,26
5427,Kitsilano,339.0,3,22,4.37,1,167,22
5428,Dunbar Southlands,62.0,2,16,2.82,6,263,16
5429,Dunbar Southlands,65.0,2,12,2.65,6,256,12
5430,Downtown,125.0,2,13,2.52,1,33,13
5431,West End,107.0,30,0,,3,237,0
5432,Grandview-Woodland,117.0,30,0,,3,180,0
5433,Downtown Eastside,216.0,1,18,4.15,2,307,18
5434,Killarney,250.0,1,7,1.27,1,347,7
5435,West End,179.0,2,7,1.27,2,0,7
5436,South Cambie,550.0,2,11,2.01,1,11,11
5437,Marpole,220.0,2,12,2.86,3,66,12
5438,Downtown,699.0,1,10,1.88,2,0,10
5439,Downtown,160.0,30,2,0.7,2,52,2
5440,Victoria-Fraserview,53.0,1,17,3.21,4,269,17
5441,Downtown,97.0,30,0,,1,89,0
5442,Victoria-Fraserview,71.0,1,25,4.66,4,255,25
5443,Victoria-Fraserview,201.0,1,4,0.78,4,255,4
5444,Fairview,212.0,30,0,,1,71,0
5445,Kensington-Cedar Cottage,,3,0,,1,0,0
5446,West End,125.0,30,1,0.22,37,88,1
5447,Mount Pleasant,136.0,2,27,4.94,1,168,27
5448,Kitsilano,1600.0,15,1,0.26,3,269,1
